category	gtdbtk.tax	phylum	class	order	family	genus	species	Group	LDA	P.VALUE	MAG.ID	category	WW	WOW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW
MAG2023	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAG-495	s__CAG-495 sp001917125	WOW	3.123371223	8.67E-06	MAG2023	MAG2023	114.4554386	1334.295055	155.99	113.52	176.57	78.87	66.59	91.36	69.93	170.93	108.91	237.19	72.27	76.36	94.4	28.74	265.91	134.4	92.04	98.08	842.32	347.08	504.68	81.06	590.49	129.34	31.55	72.01	151.24	207.95	72.1	166.22	35.33	61.6	20.19	17.33	25.12	158.32	35.92	92.61	54.59	33.86	110.28	55.28	160.75	16.99	27.17	24.93	183.79	91.23	483.97	16.44	113.92	393.45	63.2	26.57	136.82	173.46	1245.77	195.37	664.73	534.59	43.62	225.21	23.68	85.81	46.31	22.32	30.84	61.97	18.86	19.8	22.7	25.37	20.68	45.37	66.5	54.11	67.72	57.43	96.09	48.88	65.16	182.5	26.49	55.88	40.32	10.33	35.81	40.45	84.04	21.53	17.64	34.58	10.59	89.29	52.17	62.04	15.73	11.13	20.72	38.4	129.47	18.3	41.67	23.97	33.56	12.57	41.71	8.56	22	9.93	11	38.26	51.93	25.24	70.02	100.68	115.3	36.26	32.14	42.65	67.23	180.15	182.84	184.41	132.31	70.54	106	31.64	32.28	14.18	28.29	30.6	34.24	26.4	20.69	36.25	16.91	26.72	38.02	34.27	35.62	72.48	93.8	68.63	77.24	90.17	66.72	1973.88	1494.8	5916.03	5882.18	1956.6	1535.48	6085.12	6029.23	842.27	863.07	3516.35	3596.16	901.77	3598.76	6360.29	4113.86	6423.87	7551.74	6293.97	4096.6	6430.49	7438.38	4449.01	2789.57	4466.89	4295.01	2897.77	5377.81	148.92	227.76	179.02	59.24	85.11	84.45	44.55	39.18	34.22	42.42	37.94	58.48	30.94	65.23	39.07	41.78	43.41	26.39	79.31	49.29	106.76	69.38	198.01	94.19	11.34	24.28	7.83	98.65	10.05	11.01
MAG3335	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAG-495	s__CAG-495 sp900540425	WOW	3.030584313	7.12E-10	MAG3335	MAG3335	36.03166667	826.2364835	98.7	40.8	19.21	54.34	49.31	26.47	49.36	18.26	25.97	240.76	31.26	40.4	24.16	5.59	3.57	147.55	27.36	36.98	85.89	231.78	69.49	17.15	116.03	91.6	6.71	51.37	265.08	143.48	12.02	152.97	2.99	16.36	2.03	1.32	5.26	35.23	10.5	48.74	0	4.82	31.51	1.69	68.01	3.78	4.83	19.39	18.59	12.25	295.01	6.22	22.53	52.77	28.82	21.98	48.69	47.19	81.2	128.28	101.07	117.42	11.42	113.05	8.1	37.93	4.78	7.35	8.46	16.4	2.77	0.3	3.21	6.98	2.4	21.78	39.26	8.98	26.39	23.02	11.14	12.03	13.12	59.19	7.81	7.17	4.35	1.51	1.37	6.21	24.38	1.07	4.39	18.69	1.62	29.8	25.77	12.71	2.95	1.06	4.03	6.55	42.01	2.69	4.46	7.61	8.86	1.55	1.53	0.72	0.65	1.49	0.49	4.19	4.15	5.61	24.88	26.84	24.71	37.8	37.91	50.5	67.3	4783.89	3451.31	3795.01	679.86	220.45	494.71	9.79	10.02	4.11	11.84	6.49	8.34	6.73	7.86	11.51	4.87	7.27	10.62	10.09	10.52	489.6	70.67	364.27	699.77	178.37	223.25	1406.86	1273.47	1993.82	4918.49	1419.7	1310.71	2063.45	5106.38	606.24	700.82	1286.47	2951.39	652.18	1271.8	1220.13	1862.46	443.96	1156.39	1193.58	1888.67	442.39	1156.33	850.81	1260.89	313.97	303.55	1339.53	837.92	4852.81	171.38	3201.4	33.27	137.15	63.79	3.68	11.6	4.66	9.68	6.48	8.32	4.76	10.57	13.89	8.68	7.8	4.43	450.2	1159.34	1932.8	805.68	3781.95	1419.29	0.8	2.01	1.81	2.47	1.59	1.71
MAG823	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	WOW	3.602373192	0.000128481	MAG823	MAG823	8.694385965	2682.790879	6.28	6.92	27.94	33.58	114.63	4.15	12.34	19.61	6.39	5.26	7.29	27.95	4.45	1.89	2.38	5.4	6.63	6.23	16.29	4.22	4.72	6.68	5.71	15.71	20.31	22.52	7.66	6.61	9.35	6.49	0.78	1	1.24	0.82	1.31	0.75	3.93	48.74	0	4.31	47.26	3.95	80.37	3.78	4.83	13.85	8.77	6.81	19.74	3.95	10.45	15.4	32.27	40.59	7.79	3.89	14.48	12.52	6.15	24.55	0.69	1.79	6.59	1.24	2.91	8.2	7.44	1.58	0.28	1.52	3.61	0.63	3.1	1.17	4.99	4.24	5.86	4.06	3.21	5.48	7.58	9.47	5.44	5.82	1.02	0.48	0.99	1.35	1.46	0.75	1.05	1.16	0.37	1.28	1.15	1.56	1.84	0.64	0.96	3.06	0.94	2.28	0.79	7.68	1.45	1.61	0.4	1.11	0.42	2.08	0.55	2.97	0.19	2.8	1.96	1.68	1.72	1.7	1.15	1.6	2.04	116985.06	10398.24	28205.47	29031.45	24921.83	29479.29	9.11	8.28	5.46	9.53	8.18	9.44	8.35	7.37	8.34	4.75	4.12	5.99	12.87	15.81	1.14	1.07	1.2	1.32	1.31	1.49	208.34	35.41	94.07	966.04	210.09	34.01	94.91	944.73	266.55	40.27	119.07	1131.95	262.74	122.52	1.03	11.24	1.22	67.65	1.2	10.17	0.98	64.77	3.84	15.48	5.16	4.79	15.13	77.22	19.94	11.8	19.56	5.77	4.24	5.75	4.65	6.96	5.29	8.3	6.89	7.65	6.84	8.8	5.25	5.6	5.5	6.31	1.26	1.48	0.76	0.96	1.17	1.2	0.96	2.89	2.11	2.47	1.52	3.19
MAG330	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides togonis	WW	3.212561147	3.82E-06	MAG330	MAG330	2075.552719	741.4440659	2192.77	992.98	670.78	1689.02	2426.65	4189.27	6061.51	3894.47	4035.95	5968.33	3105.95	3015.99	33543.31	16691.42	4091.26	15030.44	3494.88	3581.23	1558.95	2954.77	1864.56	1761.35	1859.97	8436.65	3339.13	11290.08	1537.23	2410.44	5483.25	1978.32	942.65	3021.68	1283.21	921.97	1187.48	755.8	2016.59	643.39	38.21	1333.19	362.35	289.08	556.43	994.93	10215.23	2778.15	1167.27	945.65	351.41	558.27	2953.34	2011.37	2794.6	749.63	2286.76	1347.27	180.2	225.13	450.79	181.36	388.43	925.95	1213.48	937.88	326.77	340.68	1841.67	2751.76	264.94	145.6	382.61	731.15	473.49	1154.1	789.33	688.34	760.74	585.33	567.07	1028.77	1172.3	550.5	494.37	351.4	448.72	207.36	376.63	373.26	1637.55	352.76	1324.68	1686.59	618.22	841.93	1016.65	825.88	1077.04	470.31	410.95	816.48	883.33	161.36	171.81	222.18	265.74	166.96	82.7	69.14	72.42	96.34	122.27	95.47	56.37	100.95	1852.24	1094.35	1100	1701.92	1577.44	2705.18	1036.37	355.31	249.13	279.32	29.45	279.26	104.43	1102.69	849.28	1160.8	1054.16	787.39	613.35	1067.65	383.42	478.32	330.9	933.43	2324.92	508.66	365.01	15.97	226.03	131.56	334.79	166.68	293.03	11.4	11.37	5.52	20.57	14.23	12.52	6.95	18.87	16.32	13.63	8.9	21.09	16.1	9.92	5.92	4.4	7.74	5.95	5.9	4.36	7.96	5.36	9.62	8.03	11.69	10.87	7.14	9.25	809.96	822.13	827.63	805.74	785.74	705.06	671.97	2703.61	682.71	542.78	2229.53	245.5	962.63	1187.39	400.5	795.5	710.26	994.04	546.04	528.71	315.1	284.09	250.58	317.06	937.13	19515.02	418.71	199.76	238.93	1253.58
MAG304	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella sp900542255	WW	3.038537756	4.75E-13	MAG304	MAG304	663.8334211	26.73296703	879.07	264.95	751.88	333.2	826.02	162.48	390.8	1680.09	27.86	8394.54	2813.16	1377.45	203.9	28.62	12.38	675.03	2616.39	9154.08	1114.74	3050.38	1185.46	40.85	1459.53	4518	56.2	1772.43	7924.24	8919.4	2388.49	32.05	35.38	48.37	8.55	9.65	9.14	83.74	1261.73	68.24	8.58	307.15	63.02	1.97	86.56	11.6	10.57	16.62	79.27	174.29	4304.94	4.91	42.67	69	27.65	6.52	115.9	15.7	491.35	197.02	258.17	19.69	34.2	174.96	57.64	74.29	122.88	253.71	15.39	14.55	21.92	11.27	173.81	40.78	12.13	22.3	322.36	40.94	319.37	568.12	176.35	249.64	40.27	83.6	14.93	10.71	17.1	3.25	61.53	56.81	3.94	2.35	44.22	67.23	20.81	40.11	347.23	37.9	6.63	34.26	927.44	73.88	103.8	4.86	3.22	24.61	12.56	4.88	2.38	2.21	1.87	3.63	2.9	6.93	7.93	2.8	3.81	45.46	22.96	2.91	12.16	2.45	1.9	5.7	4.29	4.53	5.53	4.37	6.32	7.73	103.46	51.71	595.89	15.6	32.62	148.88	89.14	13.33	9.53	12.91	147.54	41.6	59.99	2.23	1.54	65.33	158.94	1.71	59.46	0.71	0.78	0.46	0.47	0.6	0.81	0.65	0.87	2.7	3.39	4.87	3.78	2.57	5.17	0.18	0.39	0.42	0.31	0.24	0.31	0.3	0.43	1.89	5.39	2.68	3.03	4.51	1.96	3.6	3.8	4.03	2.29	2.53	3.82	83.07	128.13	21.71	7.91	8.67	4.68	22.21	5.37	91.55	151.27	34.54	4.2	0.71	1.58	0.76	1.7	1	1.39	3.31	2.73	6.93	24.66	3.04	10.11
MAG280	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides sp000436495	WW	3.143720318	8.29E-13	MAG280	MAG280	1242.366842	281.090989	900.57	742.69	13368.6	1534.68	1919.65	1897.37	1096.3	8466.16	5590.64	1088.59	1539.97	5643.85	3885.77	4389.61	4336.7	1527.75	7774.14	1146.51	898.48	5241.62	1362.24	867.25	3805.37	1499.81	1011.88	1488.18	1176.18	1238.12	3961.23	829.09	802.18	1154.35	862.4	655.53	752.23	895.53	1054.04	575.15	72.53	1128.6	519.9	351.13	210.21	502.18	1494.68	742.32	244.12	353.34	372.85	418.39	491.42	492.67	597.64	463.35	612.69	521.6	388.52	405.14	390.61	306.07	518.73	550.91	758.58	743.88	644.56	749.66	1339.96	1799.48	334.84	105.7	510.22	739.4	531.16	1310.52	616.73	310.85	428.06	538.55	499.21	475.54	478.97	426.16	695.01	260.29	595.65	598.95	693.86	1004.05	686.98	557.16	761.52	694.53	813.55	953.57	766.51	894.66	778.48	722.34	833.85	677.1	439.78	706.88	542.06	437.98	396.67	576.14	312.34	367.57	345.88	474.96	422.4	567.33	341.38	238.35	483.2	406.46	409.38	567.14	461.18	346.78	311.4	147.79	132.41	138.98	249.2	221.1	251.06	688.73	587.02	406.33	745.93	354.1	600.77	514.99	367.16	490.9	541.06	761.8	947.18	490.7	438.74	224.92	152.06	196.38	279.05	170.13	195.13	72.14	88.88	53.02	65.2	69.86	88.32	56.79	63.58	66.84	87.55	50.21	71.3	69.22	54.24	65.95	51.95	53.91	62.16	64.59	52.35	51.97	60.04	61.5	51.67	52.12	51.09	51.51	64.31	228.03	293.17	229.62	262.5	260.83	253.75	345.83	360.54	270.87	403.08	413.99	408.41	354.11	329.69	513.08	385.5	393.05	513.24	194.65	260.77	227.72	249.4	219.86	243.77	504.7	328.29	772.95	182.5	619.92	524.03
MAG289	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides sp000436495	WW	3.021955748	1.52E-11	MAG289	MAG289	938.6264035	215.236044	666.33	419.69	9002.24	1331.29	1840.85	1555.27	1034.59	6513.18	3882.64	925.96	1605.65	4262.71	3088.75	3468.96	3029.76	1576.12	5695.25	991.04	758.48	3600.89	1344.36	552.07	2787.65	1168.92	725.73	1194.44	1049.02	1035.79	2817.06	846.13	601.48	753.79	661.43	440.85	450.99	679.69	827.29	229.09	36.65	895.74	393.86	251.57	160.75	304.49	1434.61	473.64	215	290.03	363.26	339.71	361.22	388.68	424.11	292.07	491.38	364.3	343.6	319.86	273.12	289.78	335.67	352.62	587.4	579.33	436.25	592.52	1084.02	1419.47	221.94	72.19	362.41	539.99	357.75	1016.24	515.93	219.56	368.44	418.69	397.98	403.51	310.41	336.29	552.47	179.12	377.5	381.81	446.32	790.22	491.44	450.18	437.76	480.89	505.2	736.1	532.5	728.35	644.09	600.2	662.41	523.86	379.95	461.98	357.21	355.9	304.79	409.47	219.32	295.1	273.49	306.61	275.52	372.46	226.24	193.48	435.43	370.22	411.91	479.98	461.79	328.15	311.49	212.5	172.7	177.85	277.61	397.26	329.19	485.33	418.19	295	569.81	244.36	442.2	388.45	232.07	375.22	409.66	568.64	747.26	365.61	285.07	209.25	107.36	153.06	242.34	133	188.07	62.58	63.71	22.77	63.79	62.01	66.82	24.65	66.8	72.45	67.3	23.8	73.49	69.41	27.27	20.1	12.16	19.09	18.11	19.55	11.21	17.6	19.11	24.84	14.25	20.51	21.21	14.3	21.29	171.84	222.5	183.05	222.52	209.88	199.83	273.2	271.37	224.07	245.01	322.2	343.06	232.7	245.75	411.12	289.77	288.78	304.84	137.47	253.47	133.25	197.21	189.17	190.28	177.08	214.84	346.71	106.05	255.27	477.98
MAG358	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides sp000436495	WW	3.173183572	3.63E-19	MAG358	MAG358	1042.237982	79.38659341	1743.01	1168.79	3864.2	5020.63	7559.35	3632.78	1041.79	2997.9	1783.71	3147.55	6686.96	5190.8	4104.29	3850.55	1064.36	5638.21	2606.86	3095.45	1875.04	1355.99	2590.21	1399.52	1737.57	2984.73	2094.55	2873.69	3980.46	3234.97	1233.63	2706.92	413.52	679.51	508.61	403.56	449.98	557.31	436.68	87.74	4.68	561.73	78.77	98.43	86.56	94.93	996.56	216.05	58.22	206.29	83.48	127.69	82.49	81.77	93.32	68.37	175.79	112.78	120.97	45.59	99.92	45.95	280.69	367.87	533.68	477.45	424.72	467.82	1026.76	1350.36	185.04	37.77	289.96	448.54	359.52	985.52	357.73	127.82	190.49	289.58	255.36	241.51	183.6	231.73	387.19	107.26	323.46	336.69	392.9	649.91	390.01	366.84	351.04	383.99	502.59	618.52	438.12	559.33	511.88	489.34	566.23	361.92	226.07	323.99	226.15	224.27	179.96	239.15	116.81	207.04	201.84	160.32	136.62	220.93	97.83	61.69	119.14	104.64	78.45	157.24	120.86	79.01	73.93	17.56	12.91	14.25	54.64	20.38	47.73	358.54	308.19	179.39	442.15	179.13	362.93	282.37	185.08	256.82	160.31	348.55	512.7	242.05	172.99	13.62	25.5	38.95	78.72	24.68	39.02	0.89	2.43	0.58	2.21	0.5	1.72	0.98	1.68	1.51	3.54	1.03	2.42	1.47	1.55	1.75	0.74	1.52	1.33	1.92	1.17	1.56	1.45	2.73	2.34	1.87	2.16	2.06	1.46	10.21	9.49	9.14	14.09	10.91	10.61	104.65	73.01	91.42	73.86	123.26	144.85	102.45	81.61	118.62	65.9	132.76	89.6	16.92	87.1	13.2	8.75	17.38	19.19	83.99	124.62	186.16	51.79	86.75	102.89
MAG331	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides sp900552415	WW	3.145531058	7.09E-13	MAG331	MAG331	1019.02307	65.53395604	793.89	1900.01	1357.27	2844.08	7139.18	2578.97	3621.07	2109.31	1608.51	2069.67	2591.72	4563.05	17184.78	7892.37	5843.84	5502.8	3086.94	2465.6	2128.99	1739.86	3203.51	2440.5	1377.97	2265.83	2326.07	3223.96	2170.3	1116.12	3217.58	3678.71	144.56	283.58	125.44	107.92	102.31	101.47	176.95	97.48	28.86	423.64	204.81	81.22	43.28	57.45	376.16	177.27	75.06	193.35	68.25	102.35	117.75	121.42	201	51.46	122.22	166.77	52.41	50.08	43.58	45.22	140.86	277.25	159.96	158.62	167.82	342.31	228.27	331.79	95.15	17.06	114.68	220.72	140.51	287	298.43	82.82	158.69	120.33	151.95	233.62	285.3	184.59	226.74	36.69	93.36	269.84	172.5	205.52	148.93	96.84	126.99	126.78	149.93	136.91	180.81	175.03	219.7	164.06	200.63	159.37	104.98	155.66	94.89	111.7	93.14	97.34	49.32	49.78	49.87	74.69	55.34	89.45	34.68	33.65	49.27	84.97	64.59	103.99	84.06	111.89	131.9	8.39	4.64	6.75	5.83	9.77	7.52	112.47	162.26	121.72	275.86	114.28	239.58	175.98	95.89	111.58	162.89	166.71	138.01	206.37	149.78	16.75	11.39	20.13	33.12	14.19	23.45	1.48	2.08	1.5	2.95	1.97	2.12	1.74	2.55	2.62	2.85	1.78	3.66	2.61	3	1.17	1.13	1.07	1.03	1.8	1.34	0.85	0.87	2.87	1.93	1.67	1.66	1.6	1.52	55.27	12.4	41.41	20.96	22.57	18.09	142.65	146.25	51.39	106.86	68.85	60.58	97.72	56.67	268.87	74.79	139.94	83.61	10.3	89.73	15.85	30.83	37.01	34.75	93.82	214.03	438.29	66.59	15.69	368.42
MAG3375	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella sp003477995	WW	3.004092612	1.34E-12	MAG3375	MAG3375	1545.140702	405.0163736	82.2	96.68	180.45	173.58	186.7	103.3	52.45	198.11	322.54	69.39	93.02	251.05	191.51	241.02	4190.53	189.27	487.96	148.45	118.03	155.85	131.91	673.85	358.35	177.48	6755.17	195.33	135.92	143.15	160.21	369.24	246.69	504.56	580.83	2143.73	195.25	244.32	203.76	965.09	50.69	1079.64	992.53	14662.22	321.49	15684.22	1129.39	2609.19	70.15	168.16	1437.8	660.93	179.58	360.84	169.6	484.13	433.92	230.36	739.44	3562.91	904.76	5230.44	1409.5	399.27	297.39	471.25	2313.57	1373.81	172.51	174.84	425.84	145.6	1788.57	1086.65	1254.68	311.86	955.59	107.76	730.2	9926.67	3961.64	1248.78	416.3	352.82	2308.93	178.16	4084.76	1060.97	749.37	756.24	345.9	6652.19	737.1	214.53	440.5	95.6	403.55	263.59	896.44	2824.89	583.97	2281.65	435.94	4533.02	5678.48	2139.72	1728.42	6302.58	3088.34	5311.91	3847.1	3563.92	3780.63	3569.91	3846.69	1236.62	161.78	91.7	65.69	126.64	100.15	101.32	70.35	127.93	59.62	67.7	52.02	57.04	58.51	513.12	557.77	2626.95	841.03	748.77	442.33	512.86	1047.89	203.33	3816.64	2511.93	242.87	989.79	3753.03	64.89	41.42	63.6	106.41	47.59	90.34	71.55	110.58	132.71	128.59	71.97	112.44	127.7	117.35	76.09	110.27	153.17	132.68	76.06	152.58	120.77	44.32	61.33	46.93	130.27	46.32	56.78	53.48	145.09	56.52	66.01	64.21	52.34	59.47	185.21	149.49	161.45	286.09	82.03	60.37	71.94	95.18	110.88	138.55	174.03	102.13	225.13	99.61	98.99	499.04	142.7	140.73	95.19	50.96	146.07	137.37	140.68	126.47	3115.01	775.73	2767.09	453.78	3060.64	223.36
MAG4145	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella sp003477995	WW	3.122146622	5.81E-15	MAG4145	MAG4145	1758.340965	326.9105495	25.98	22.83	87.12	97.36	64.48	65.93	23.65	89.25	206.09	15.21	8.97	166.94	84.07	105.73	4467.63	91.42	352.8	83.64	58.21	46.17	55.66	462.56	249.49	95.27	7417.2	144.48	71.15	70.42	48.06	199.77	198.86	366.08	457.56	2044.03	37.17	185.55	59.45	628.77	12.48	952.09	992.53	12855.25	197.84	14275.3	854.36	2326.67	17.19	129.35	1001.78	505.67	118.34	188.82	41.65	422.28	237.56	108.89	684.54	3004.21	708.89	11187.53	1534.77	384.02	253.78	512.37	2655.02	1448.74	106.99	148.49	425.28	69.45	1830.75	1160.66	1104.02	277.33	895.15	74.31	653.28	11985.63	4192.2	1077.15	388.35	265.66	2464.71	137.22	1233.91	1101.79	602.23	560.96	178.17	6214.45	648.11	118.99	245.27	43.02	297.08	183.57	934.36	3163.21	605.96	2178.5	448.71	4459.8	5565.2	8883.77	7822.54	8316.81	4225.62	7876.53	5929.93	5470.77	6445.5	5288.94	5822.62	1760.99	84.85	34.2	30.04	72.25	95.41	65.41	29.87	5.78	2.17	3.11	2.08	3.91	3.31	70.87	465.17	3141.75	822.52	693.84	326.32	408.38	1121.27	75.96	4811.67	2998.46	180.65	784.39	3447.97	3.8	3.28	23.66	10.01	3.33	6.11	1.37	1.74	0.46	2.01	0.87	1.61	0.54	2.35	2.45	2.85	2.9	3.54	2.23	3	1.21	0.71	3.34	2.72	0.76	0.5	3.49	2.85	2.57	2.16	4.51	4.49	1.93	4.22	203.65	21.12	127.75	170.92	19.35	11.55	13.96	27.61	15.61	41.25	73.32	29.03	90.42	15.99	20.94	290.24	28.34	15.94	26.02	18.91	61.93	63.25	61.45	56.46	2716.89	684.79	1868.83	256.48	2721.58	100.1
MAG4209	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella sp003477995	WW	3.260397121	5.63E-16	MAG4209	MAG4209	2597.294825	349.7114286	28.11	33.05	89.45	115.09	88.08	36.34	86.39	89.25	222.11	17.84	22.85	140.26	68.18	150.98	5189.66	130.25	397.16	104.05	64.71	82.02	67.13	480.33	221.89	132.4	8924.46	174.1	105.08	77.69	88.12	212.07	206.1	370.4	558.42	2246.49	120.01	191.12	124.32	614.15	29.63	976.12	1055.55	14516.97	222.57	16091.74	1087.43	2515.02	35.07	146.37	982.6	569.49	138.2	206.3	109.7	445.72	256.8	216.42	583.2	2904.99	712.15	6512.35	1672.03	457.59	288.98	565.86	3017.56	1585.14	123.38	170.51	431.11	89.55	1853.31	1112.46	1120.93	301.47	886.19	93.95	674.5	13545.37	4569.07	1127.86	327.15	257.8	2586.04	158.55	1255.19	1120.36	647.31	538.37	213.47	6987.19	710.86	131.73	733.8	39.89	284.35	193.58	966.38	3434.47	616.02	2347.55	486.01	4856.72	5992.46	3770.78	3087.83	26137.27	13967.39	47213.66	35217.22	5233.94	5813.62	4990.23	5224.92	4478.18	74.33	37.59	34.97	66.68	85.25	72.4	31.12	18.99	10.62	14.11	13.39	15.17	13.54	112.74	522.71	3547.45	854.25	729.49	333.61	470.23	1213.75	86.86	4936.26	3456.36	217.31	802.67	3797.92	12.17	7.1	24.26	39.82	7.87	11.02	1.48	2.6	0.69	3.15	1.56	2.02	0.76	3.29	2.95	4.16	2.62	5.61	2.57	2.79	1.97	0.57	1.01	1.18	1.92	1.15	0.91	0.87	3.65	2.69	2.85	2.85	2.5	2.89	170.59	49.5	120.55	186.62	30.58	26.07	17.67	32.39	11.28	37.22	70.05	16.53	82.44	18.29	21.91	262.82	27.08	23.4	30.4	34.82	62.19	60.2	78.1	59.64	2336.55	704.89	2586.35	323.07	2444.41	162.86
MAG4321	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella sp003477995	WW	3.055961053	1.63E-15	MAG4321	MAG4321	1520.693684	304.3549451	49.3	68.59	96.24	148.3	155.51	68	26.74	110.48	194.99	44.04	51.59	204.29	176.41	191.85	3531.35	117.25	353.84	108.55	93.05	87.41	112	451.09	238.07	120.97	5870.89	173.07	105.08	103.81	92.12	224.52	221.59	412.76	445.81	1739.11	115.95	228.84	188.24	458.17	19.5	824.09	1055.55	11565.52	160.75	12244.99	902.97	1947.2	49.81	172.24	917.17	558.71	192.31	232.86	126.92	423.97	294.09	203.06	622.14	2594.11	654.43	9803.04	1285.65	392.09	323.2	497.49	2277.95	1349.17	218.02	242.21	409.75	82.24	1640.85	1018.72	943.32	308.87	824.18	168.82	670.79	9898.11	3590.14	1029.43	380.32	352.46	2155.82	169.52	993.89	885.08	564.78	688.13	217.05	5000.46	605.39	182.24	317.23	115.44	312.16	217.57	811.46	2628.63	556.63	1944.66	432.86	3751.88	4428.76	7367.32	5990.34	6987.05	3416.17	6764.75	4874.29	4614.65	5135.7	4408.41	4623.81	1547.87	118.25	63.53	54.87	78.94	98.72	94.98	49.64	35.92	51.73	49.44	80.13	48.39	74.82	150.61	505.63	2557.17	781.08	611.35	412.86	457.82	1041.67	201.79	3906.56	2459.04	282	797.31	2870.08	25.67	27.13	39.82	32.73	23.64	27.75	21.37	22.57	23	12.8	24.14	26.75	18.13	12.42	20.66	22.72	23.89	15.06	19.61	24.38	23.28	44.43	18.62	16.93	25.61	41.93	18.08	13.61	26.06	43.38	19.81	20.57	41.95	19.93	160.64	40.44	115.34	173.81	55.22	27.75	45	66.44	44.36	79.94	103.93	39.73	110.24	42.77	49.84	270.81	67.21	51.73	45.57	56.22	57.23	78.13	77.1	66.18	2015.87	603.83	1725.44	246.62	2263.17	142.98
