Bin	genes	ARO	AMR Gene Family	phylum
HNCeC13.Bin67	140	97	127	Bacteroidota
HNCeC13.Bin70	93	64	88	Firmicutes
HNCeC13.Bin77	90	64	75	Firmicutes
HNCeC13.Bin78	93	76	75	Bacteroidota
HNCeC13.Bin83	149	106	131	Bacteroidota
HNCeC14.Bin12	141	110	117	Bacteroidota
HNCeC14.Bin13	252	127	206	Firmicutes
HNCeC14.Bin14	176	114	146	Desulfobacterota
HNCeC14.Bin15	199	128	172	Bacteroidota
HNCeC14.Bin23	267	129	208	Firmicutes
HNCeC14.Bin25	254	129	201	Firmicutes
HNCeC14.Bin29	47	36	42	Firmicutes
HNCeC14.Bin32	177	119	140	Proteobacteria
HNCeC14.Bin36	234	122	192	Firmicutes
HNCeC14.Bin38	116	89	91	Bacteroidota
HNCeC14.Bin39	146	94	108	Firmicutes
HNCeC14.Bin4	165	103	139	Firmicutes
HNCeC14.Bin47	134	95	109	Bacteroidota
HNCeC15.Bin1	150	90	129	Firmicutes
HNCeC15.Bin12	102	74	94	Desulfobacterota
HNCeC15.Bin21	105	69	85	Firmicutes
HNCeC15.Bin23	95	71	83	Firmicutes
HNCeC15.Bin24	176	97	144	Firmicutes
HNCeC15.Bin25	124	89	104	Bacteroidota
HNCeC15.Bin30	230	111	171	Firmicutes
HNCeC15.Bin33	122	84	95	Verrucomicrobiota
HNCeC15.Bin34	115	74	96	Firmicutes
HNCeC15.Bin37	160	87	133	Actinobacteriota
HNCeC15.Bin39	121	93	100	Bacteroidota
HNCeC15.Bin41	106	77	84	Firmicutes
HNCeC15.Bin43	165	112	139	Bacteroidota
HNCeC15.Bin45	144	114	128	Bacteroidota
HNCeC15.Bin47	126	80	96	Firmicutes
HNCeC15.Bin49	193	101	164	Firmicutes
HNCeC15.Bin5	111	78	95	Actinobacteriota
HNCeC15.Bin53	130	86	117	Firmicutes
HNCeC15.Bin55	142	97	115	Firmicutes
HNCeC15.Bin56	140	109	117	Bacteroidota
HNCeC15.Bin57	204	101	168	Firmicutes
HNCeC15.Bin58	202	94	178	Firmicutes
HNCeC15.Bin60	112	79	95	Firmicutes
HNCeC15.Bin65	148	87	131	Firmicutes
HNCeC15.Bin68	126	81	112	Firmicutes
HNCeC15.Bin70	100	82	99	Bacteroidota
HNCeC15.Bin72	201	111	175	Firmicutes
HNCeC15.Bin79	288	137	221	Firmicutes
HNCeC15.Bin8	142	105	115	Bacteroidota
HNCeC15.Bin85	137	89	119	Firmicutes
HNCeC16.Bin10	171	96	152	Firmicutes
HNCeC16.Bin100	94	71	81	Firmicutes
HNCeC16.Bin103	104	69	76	Firmicutes
HNCeC16.Bin106	139	99	117	Bacteroidota
HNCeC16.Bin111	138	85	122	Firmicutes
HNCeC16.Bin112	113	92	92	Bacteroidota
HNCeC16.Bin115	151	104	141	Bacteroidota
HNCeC16.Bin117	117	71	91	Firmicutes
HNCeC16.Bin119	49	44	45	Proteobacteria
HNCeC16.Bin12	98	75	82	Proteobacteria
HNCeC16.Bin16	77	62	70	Firmicutes
HNCeC16.Bin29	145	83	104	Firmicutes
HNCeC16.Bin3	176	93	149	Firmicutes
HNCeC16.Bin30	188	125	151	Desulfobacterota
HNCeC16.Bin37	96	69	83	Firmicutes
HNCeC16.Bin39	155	108	144	Bacteroidota
HNCeC16.Bin46	112	81	96	Bacteroidota
HNCeC16.Bin47	165	98	149	Firmicutes
HNCeC16.Bin48	131	90	113	Bacteroidota
HNCeC16.Bin52	177	97	145	Firmicutes
HNCeC16.Bin55	154	92	128	Firmicutes
HNCeC16.Bin56	76	63	61	Bacteroidota
HNCeC16.Bin63	284	139	224	Firmicutes
HNCeC16.Bin75	120	71	107	Firmicutes
HNCeC16.Bin76	128	84	109	Actinobacteriota
HNCeC16.Bin8	109	69	94	Firmicutes
HNCeC16.Bin82	95	79	80	Bacteroidota
HNCeC16.Bin93	191	106	134	Firmicutes
HNCeC16.Bin94	115	70	92	Firmicutes
HNCeC17.Bin11	192	99	152	Firmicutes
HNCeC17.Bin12	86	61	64	Firmicutes
HNCeC17.Bin13	188	101	146	Firmicutes
HNCeC17.Bin15	142	85	110	Firmicutes
HNCeC17.Bin19	125	89	105	Firmicutes
HNCeC17.Bin20	218	117	195	Firmicutes
HNCeC17.Bin22	180	118	155	Bacteroidota
HNCeC17.Bin37	283	130	219	Firmicutes
HNCeC17.Bin39	142	86	116	Actinobacteriota
HNCeC17.Bin40	136	97	122	Bacteroidota
HNCeC17.Bin42	111	80	98	Firmicutes
HNCeC17.Bin44	153	96	124	Firmicutes
HNCeC17.Bin48	127	87	104	Actinobacteriota
HNCeC17.Bin52	136	84	97	Firmicutes
HNCeC17.Bin59	152	104	140	Bacteroidota
HNCeC17.Bin64	141	87	115	Firmicutes
HNCeC17.Bin65	240	121	201	Firmicutes
HNCeC17.Bin66	103	72	86	Firmicutes
HNCeC17.Bin67	93	66	87	Actinobacteriota
HNCeC17.Bin70	119	73	111	Firmicutes
HNCeC17.Bin71	124	75	107	Firmicutes
HNCeC17.Bin72	227	102	180	Firmicutes
HNCeC17.Bin79	112	90	95	Bacteroidota
HNCeC17.Bin81	124	71	104	Firmicutes
HNCeC17.Bin84	181	101	164	Firmicutes
HNCeC18.Bin102	64	48	57	Firmicutes
HNCeC18.Bin103	101	74	88	Actinobacteriota
HNCeC18.Bin106	132	88	94	Firmicutes
HNCeC18.Bin13	209	109	185	Firmicutes
HNCeC18.Bin16	134	78	119	Firmicutes
HNCeC18.Bin20	147	93	122	Firmicutes
HNCeC18.Bin21	18	17	15	Methanobacteriota
HNCeC18.Bin22	114	66	96	Firmicutes
HNCeC18.Bin23	185	100	159	Firmicutes
HNCeC18.Bin29	97	68	88	Firmicutes
HNCeC18.Bin33	115	83	102	Firmicutes
HNCeC18.Bin36	197	97	150	Firmicutes
HNCeC18.Bin40	174	116	146	Bacteroidota
HNCeC18.Bin43	166	94	142	Firmicutes
HNCeC18.Bin44	140	91	116	Firmicutes
HNCeC18.Bin46	83	62	70	Firmicutes
HNCeC18.Bin55	140	88	115	Firmicutes
HNCeC18.Bin56	142	83	101	Firmicutes
HNCeC18.Bin57	108	89	90	Bacteroidota
HNCeC18.Bin58	160	110	140	Bacteroidota
HNCeC18.Bin60	183	118	169	Bacteroidota
HNCeC18.Bin66	165	95	139	Firmicutes
HNCeC18.Bin71	164	101	118	Firmicutes
HNCeC18.Bin78	154	93	119	Firmicutes
HNCeC18.Bin83	168	94	133	Firmicutes
HNCeC18.Bin9	99	60	82	Firmicutes
HNCeC18.Bin90	168	111	144	Firmicutes
HNCeC18.Bin91	96	72	76	Bacteroidota
HNCeC18.Bin93	211	110	174	Firmicutes
HNCeC4.Bin1	239	120	208	Firmicutes
HNCeC4.Bin11	119	84	97	Bacteroidota
HNCeC4.Bin14	164	131	144	Bacteroidota
HNCeC4.Bin18	240	122	192	Firmicutes
HNCeC4.Bin20	133	101	120	Bacteroidota
HNCeC4.Bin21	193	105	155	Firmicutes
HNCeC4.Bin23	173	97	150	Firmicutes
HNCeC4.Bin31	152	105	127	Firmicutes
HNCeC4.Bin33	204	103	165	Firmicutes
HNCeC4.Bin35	194	123	171	Bacteroidota
HNCeC4.Bin39	131	96	116	Firmicutes
HNCeC4.Bin43	179	101	165	Firmicutes
HNCeC4.Bin45	205	127	178	Bacteroidota
HNCeC4.Bin46	181	115	150	Desulfobacterota
HNCeC4.Bin59	129	98	108	Bacteroidota
HNCeC4.Bin60	138	83	117	Firmicutes
HNCeC4.Bin61	82	62	68	Firmicutes
HNCeC4.Bin62	99	77	80	Firmicutes
HNCeC4.Bin68	216	104	176	Firmicutes
HNCeC4.Bin69	133	104	113	Bacteroidota
HNCeC4.Bin71	166	110	132	Bacteroidota
HNCeC4.Bin82	88	64	72	Firmicutes
HNCeC4.Bin84	150	113	128	Bacteroidota
HNCeC4.Bin89	117	91	108	Bacteroidota
HNCeC4.Bin98	114	82	103	Actinobacteriota
HNCeC5.Bin13	191	105	159	Firmicutes
HNCeC5.Bin18	186	112	166	Bacteroidota
HNCeC5.Bin20	83	65	70	Proteobacteria
HNCeC5.Bin21	151	113	117	Bacteroidota
HNCeC5.Bin22	126	94	106	Firmicutes
HNCeC5.Bin24	145	110	124	Bacteroidota
HNCeC5.Bin26	218	110	177	Firmicutes
HNCeC5.Bin30	156	104	150	Desulfobacterota
HNCeC5.Bin32	142	92	117	Firmicutes
HNCeC5.Bin34	71	51	64	Firmicutes
HNCeC5.Bin36	173	103	143	Desulfobacterota
HNCeC5.Bin41	171	125	141	Bacteroidota
HNCeC5.Bin42	119	94	101	Bacteroidota
HNCeC5.Bin43	169	130	145	Bacteroidota
HNCeC5.Bin47	104	80	95	Bacteroidota
HNCeC5.Bin49	166	115	143	Bacteroidota
HNCeC5.Bin5	171	99	142	Firmicutes
HNCeC5.Bin51	141	101	121	Deferribacterota
HNCeC5.Bin52	133	102	112	Bacteroidota
HNCeC5.Bin53	150	102	136	Bacteroidota
HNCeC5.Bin57	98	64	83	Firmicutes
HNCeC5.Bin59	124	97	105	Bacteroidota
HNCeC5.Bin6	138	89	95	Firmicutes
HNCeC5.Bin64	182	124	156	Bacteroidota
HNCeC5.Bin65	147	98	127	Bacteroidota
HNCeC5.Bin70	128	99	107	Bacteroidota
HNCeC5.Bin71	158	116	133	Bacteroidota
HNCeC5.Bin75	173	114	146	Bacteroidota
HNCeC5.Bin80	159	112	136	Bacteroidota
HNCeC5.Bin82	194	100	162	Firmicutes
HNCeC5.Bin83	206	111	172	Firmicutes
HNCeC5.Bin85	132	75	116	Firmicutes
HNCeC5.Bin87	142	79	115	Firmicutes
HNCeC5.Bin9	189	124	171	Bacteroidota
HNCeC5.Bin92	125	103	106	Bacteroidota
HNCeC6.Bin1	121	79	107	Firmicutes
HNCeC6.Bin101	139	97	127	Bacteroidota
HNCeC6.Bin102	129	94	110	Firmicutes
HNCeC6.Bin104	92	69	87	Bacteroidota
HNCeC6.Bin110	233	114	200	Firmicutes
HNCeC6.Bin111	184	101	162	Firmicutes
HNCeC6.Bin12	144	87	117	Spirochaetota
HNCeC6.Bin13	58	48	47	Proteobacteria
HNCeC6.Bin15	95	64	95	Firmicutes
HNCeC6.Bin26	125	94	107	Bacteroidota
HNCeC6.Bin28	92	73	76	Bacteroidota
HNCeC6.Bin3	155	111	128	Bacteroidota
HNCeC6.Bin31	153	112	132	Bacteroidota
HNCeC6.Bin35	122	88	104	Bacteroidota
HNCeC6.Bin36	119	84	110	Bacteroidota
HNCeC6.Bin37	170	90	151	Firmicutes
HNCeC6.Bin38	67	56	58	Firmicutes
HNCeC6.Bin39	200	124	185	Bacteroidota
HNCeC6.Bin40	51	38	41	Patescibacteria
HNCeC6.Bin45	225	120	186	Firmicutes
HNCeC6.Bin46	80	69	71	Bacteroidota
HNCeC6.Bin47	100	75	92	Spirochaetota
HNCeC6.Bin48	146	103	138	Bacteroidota
HNCeC6.Bin49	123	89	106	Bacteroidota
HNCeC6.Bin50	144	99	108	Firmicutes
HNCeC6.Bin52	140	99	120	Firmicutes
HNCeC6.Bin57	30	27	28	Methanobacteriota
HNCeC6.Bin66	205	127	181	Bacteroidota
HNCeC6.Bin7	210	115	163	Desulfobacterota
HNCeC6.Bin73	105	82	97	Bacteroidota
HNCeC6.Bin77	98	76	83	Bacteroidota
HNCeC6.Bin82	134	99	130	Bacteroidota
HNCeC6.Bin83	138	104	109	Bacteroidota
HNCeC6.Bin86	66	55	50	Proteobacteria
HNCeC6.Bin9	120	90	100	Bacteroidota
HNCeC6.Bin91	141	95	114	Bacteroidota
HNCeC6.Bin93	138	95	115	Desulfobacterota
HNCeC6.Bin94	145	110	114	Bacteroidota
HNCeC6.Bin98	133	97	113	Bacteroidota
HNCeC6.Bin99	155	107	127	Bacteroidota
HNCeC7.Bin10	144	101	126	Bacteroidota
HNCeC7.Bin101	210	118	178	Firmicutes
HNCeC7.Bin106	110	84	97	Bacteroidota
HNCeC7.Bin108	266	109	248	Firmicutes
HNCeC7.Bin17	102	76	83	Firmicutes
HNCeC7.Bin20	187	114	160	Firmicutes
HNCeC7.Bin25	113	87	94	Bacteroidota
HNCeC7.Bin28	158	97	121	Firmicutes
HNCeC7.Bin33	133	97	111	Bacteroidota
HNCeC7.Bin36	343	150	269	Firmicutes
HNCeC7.Bin47	206	116	159	Firmicutes
HNCeC7.Bin64	253	121	198	Firmicutes
HNCeC7.Bin66	194	116	158	Firmicutes
HNCeC7.Bin69	106	67	85	Firmicutes
HNCeC7.Bin70	70	57	59	Firmicutes
HNCeC7.Bin71	153	90	140	Firmicutes
HNCeC7.Bin76	222	113	177	Firmicutes
HNCeC7.Bin79	154	94	126	Firmicutes
HNCeC7.Bin8	137	87	114	Firmicutes
HNCeC7.Bin80	121	76	103	Firmicutes
HNCeC7.Bin82	127	89	102	Firmicutes
HNCeC7.Bin83	110	78	98	Actinobacteriota
HNCeC7.Bin88	185	100	169	Firmicutes
HNCeC7.Bin89	204	109	153	Firmicutes
HNCeC7.Bin92	187	107	163	Firmicutes
HNCeC7.Bin96	144	77	125	Firmicutes
HNCeC7.Bin98	202	111	158	Firmicutes
HNCeC8.Bin11	177	102	140	Firmicutes
HNCeC8.Bin16	183	113	152	Proteobacteria
HNCeC8.Bin25	153	99	124	Firmicutes
HNCeC8.Bin37	238	138	194	Actinobacteriota
HNCeC8.Bin42	180	97	146	Firmicutes
HNCeC8.Bin43	188	96	163	Firmicutes
HNCeC8.Bin48	136	87	100	Firmicutes
HNCeC8.Bin49	109	78	98	Actinobacteriota
HNCeC8.Bin51	134	80	104	Firmicutes
HNCeC8.Bin54	139	88	123	Firmicutes
HNCeC8.Bin61	90	62	83	Deferribacterota
HNCeC8.Bin63	176	115	150	Bacteroidota
HNCeC8.Bin65	131	103	110	Bacteroidota
HNCeC8.Bin68	160	102	136	Firmicutes
HNCeC8.Bin69	127	97	112	Firmicutes
HNCeC8.Bin70	137	98	119	Bacteroidota
HNCeC8.Bin77	75	47	69	Firmicutes
HNCeC8.Bin8	92	66	83	Firmicutes
HNCeC8.Bin85	73	60	64	Fusobacteriota
HNCeC8.Bin91	131	80	101	Firmicutes
HNCeC8.Bin93	189	99	152	Firmicutes
HNCeC8.Bin96	167	112	147	Bacteroidota
JSCeC1.Bin1	77	58	66	Firmicutes
JSCeC1.Bin12	110	73	96	Firmicutes
JSCeC1.Bin13	237	124	175	Firmicutes
JSCeC1.Bin15	239	138	210	Bacteroidota
JSCeC1.Bin20	244	110	204	Firmicutes
JSCeC1.Bin21	172	104	135	Firmicutes
JSCeC1.Bin30	156	96	121	Proteobacteria
JSCeC1.Bin35	133	87	106	Firmicutes
JSCeC1.Bin38	40	36	33	Firmicutes
JSCeC1.Bin40	173	99	140	Firmicutes
JSCeC1.Bin41	62	54	51	Proteobacteria
JSCeC1.Bin44	267	132	205	Firmicutes
JSCeC1.Bin49	213	111	184	Firmicutes
JSCeC1.Bin52	73	52	61	Firmicutes
JSCeC1.Bin53	226	141	207	Bacteroidota
JSCeC1.Bin55	128	95	108	Proteobacteria
JSCeC1.Bin61	125	83	107	Firmicutes
JSCeC1.Bin64	270	131	235	Firmicutes
JSCeC1.Bin67	312	133	241	Firmicutes
JSCeC1.Bin71	112	73	95	Firmicutes
JSCeC1.Bin72	162	94	133	Firmicutes
JSCeC1.Bin9	191	102	159	Firmicutes
JSCeC2.Bin10	61	50	52	Firmicutes
JSCeC2.Bin111	68	56	56	Firmicutes
JSCeC2.Bin115	195	97	160	Firmicutes
JSCeC2.Bin117	118	96	100	Proteobacteria
JSCeC2.Bin12	48	44	43	Firmicutes
JSCeC2.Bin124	103	77	85	Firmicutes
JSCeC2.Bin125	236	125	186	Firmicutes
JSCeC2.Bin127	179	120	157	Bacteroidota
JSCeC2.Bin128	225	123	179	Firmicutes
JSCeC2.Bin129	249	121	193	Firmicutes
JSCeC2.Bin132	89	68	64	Cyanobacteria
JSCeC2.Bin134	96	66	88	Desulfobacterota
JSCeC2.Bin135	92	71	69	Bacteroidota
JSCeC2.Bin136	195	113	164	Actinobacteriota
JSCeC2.Bin138	205	116	171	Verrucomicrobiota
JSCeC2.Bin18	99	72	89	Firmicutes
JSCeC2.Bin2	49	42	42	Firmicutes
JSCeC2.Bin20	120	74	100	Firmicutes
JSCeC2.Bin24	258	149	216	Bacteroidota
JSCeC2.Bin3	110	86	97	Proteobacteria
JSCeC2.Bin30	85	56	75	Firmicutes
JSCeC2.Bin34	124	88	114	Bacteroidota
JSCeC2.Bin42	256	117	194	Firmicutes
JSCeC2.Bin46	141	98	130	Bacteroidota
JSCeC2.Bin47	95	68	79	Firmicutes
JSCeC2.Bin48	182	113	176	Bacteroidota
JSCeC2.Bin5	266	119	207	Firmicutes
JSCeC2.Bin51	127	85	110	Firmicutes
JSCeC2.Bin56	160	95	137	Firmicutes
JSCeC2.Bin58	280	128	201	Firmicutes
JSCeC2.Bin59	212	110	170	Firmicutes
JSCeC2.Bin60	105	73	93	Firmicutes
JSCeC2.Bin61	98	71	87	Firmicutes
JSCeC2.Bin65	104	81	97	Bacteroidota
JSCeC2.Bin67	174	99	143	Verrucomicrobiota
JSCeC2.Bin72	136	102	105	Verrucomicrobiota
JSCeC2.Bin77	105	77	91	Proteobacteria
JSCeC2.Bin8	144	85	119	Firmicutes
JSCeC2.Bin80	183	125	147	Desulfobacterota
JSCeC2.Bin82	198	107	177	Firmicutes
JSCeC2.Bin84	149	91	116	Firmicutes
JSCeC2.Bin85	105	69	103	Firmicutes
JSCeC2.Bin86	126	78	101	Firmicutes
JSCeC2.Bin88	150	86	114	Proteobacteria
JSCeC2.Bin91	165	124	134	Bacteroidota
JSCeC2.Bin92	212	111	174	Firmicutes
JSCeC2.Bin96	197	120	168	Firmicutes
JSCeC3.Bin1	118	67	114	Spirochaetota
JSCeC3.Bin107	106	71	91	Firmicutes
JSCeC3.Bin109	188	126	156	Desulfobacterota
JSCeC3.Bin110	138	85	115	Actinobacteriota
JSCeC3.Bin114	124	101	107	Proteobacteria
JSCeC3.Bin116	101	79	80	Proteobacteria
JSCeC3.Bin117	90	56	85	Firmicutes
JSCeC3.Bin118	249	114	191	Firmicutes
JSCeC3.Bin120	101	76	80	Verrucomicrobiota
JSCeC3.Bin122	56	42	46	Firmicutes
JSCeC3.Bin124	136	86	121	Actinobacteriota
JSCeC3.Bin132	253	131	222	Firmicutes
JSCeC3.Bin137	219	110	163	Firmicutes
JSCeC3.Bin140	89	71	75	Firmicutes
JSCeC3.Bin141	223	121	179	Firmicutes
JSCeC3.Bin145	120	80	90	Firmicutes
JSCeC3.Bin28	77	53	69	Firmicutes
JSCeC3.Bin30	55	47	48	Firmicutes
JSCeC3.Bin35	191	109	153	Firmicutes
JSCeC3.Bin36	199	125	171	Bacteroidota
JSCeC3.Bin37	100	67	92	Thermoplasmatota
JSCeC3.Bin48	220	105	175	Firmicutes
JSCeC3.Bin5	167	128	139	Bacteroidota
JSCeC3.Bin50	125	79	108	Firmicutes
JSCeC3.Bin52	232	143	199	Bacteroidota
JSCeC3.Bin62	91	59	86	Thermoplasmatota
JSCeC3.Bin64	185	97	148	Firmicutes
JSCeC3.Bin69	170	107	143	Proteobacteria
JSCeC3.Bin74	173	124	143	Bacteroidota
JSCeC3.Bin75	84	62	71	Firmicutes
JSCeC3.Bin8	171	119	140	Firmicutes
JSCeC3.Bin82	385	157	312	Firmicutes
JSCeC3.Bin84	296	143	233	Firmicutes
JSCeC3.Bin91	131	89	107	Firmicutes
JSCeC3.Bin96	124	84	106	Firmicutes
JSCeC4.Bin100	104	70	92	Firmicutes
JSCeC4.Bin103	98	68	81	Firmicutes
JSCeC4.Bin105	356	157	279	Firmicutes
JSCeC4.Bin106	72	59	69	Firmicutes
JSCeC4.Bin16	155	105	126	Firmicutes
JSCeC4.Bin2	219	127	176	Firmicutes
JSCeC4.Bin32	110	76	91	Firmicutes
JSCeC4.Bin34	176	99	137	Actinobacteriota
JSCeC4.Bin35	155	106	113	Bacteroidota
JSCeC4.Bin38	184	114	165	Bacteroidota
JSCeC4.Bin39	179	98	141	Firmicutes
JSCeC4.Bin4	151	100	135	Bacteroidota
JSCeC4.Bin40	149	83	123	Firmicutes
JSCeC4.Bin42	210	130	171	Bacteroidota
JSCeC4.Bin43	166	119	147	Bacteroidota
JSCeC4.Bin47	56	47	47	Firmicutes
JSCeC4.Bin5	182	113	149	Firmicutes
JSCeC4.Bin51	155	95	128	Firmicutes
JSCeC4.Bin54	170	112	139	Desulfobacterota
JSCeC4.Bin58	32	31	34	Firmicutes
JSCeC4.Bin67	202	108	147	Firmicutes
JSCeC4.Bin69	248	119	204	Firmicutes
JSCeC4.Bin70	180	95	164	Spirochaetota
JSCeC4.Bin71	124	95	119	Bacteroidota
JSCeC4.Bin74	123	85	92	Cyanobacteria
JSCeC4.Bin75	174	100	148	Firmicutes
JSCeC4.Bin77	120	91	96	Proteobacteria
JSCeC4.Bin79	117	84	101	Firmicutes
JSCeC4.Bin8	191	116	165	Bacteroidota
JSCeC4.Bin83	225	111	181	Firmicutes
JSCeC4.Bin87	196	112	163	Firmicutes
JSCeC4.Bin89	159	105	137	Firmicutes
JSCeC4.Bin9	167	108	155	Bacteroidota
JSCeC4.Bin93	60	50	57	Campylobacterota
JSCeC4.Bin94	99	66	80	Firmicutes
JSCeC4.Bin95	79	61	70	Firmicutes
JSCeC4.Bin97	231	129	203	Bacteroidota
JSCeC5.Bin105	97	62	95	Firmicutes
JSCeC5.Bin14	206	104	187	Firmicutes
JSCeC5.Bin18	81	64	61	Bacteroidota
JSCeC5.Bin2	108	70	89	Firmicutes
JSCeC5.Bin33	305	151	291	Bacteroidota
JSCeC5.Bin44	134	94	103	Cyanobacteria
JSCeC5.Bin45	178	99	137	Firmicutes
JSCeC5.Bin47	122	75	107	Firmicutes
JSCeC5.Bin49	133	80	110	Firmicutes
JSCeC5.Bin50	130	80	101	Firmicutes
JSCeC5.Bin53	157	112	136	Bacteroidota
JSCeC5.Bin57	169	94	144	Firmicutes
JSCeC5.Bin58	174	101	144	Firmicutes
JSCeC5.Bin59	209	98	159	Firmicutes
JSCeC5.Bin6	157	94	133	Actinobacteriota
JSCeC5.Bin60	100	71	75	Firmicutes
JSCeC5.Bin61	75	61	68	Firmicutes
JSCeC5.Bin70	85	61	65	Cyanobacteria
JSCeC5.Bin78	236	112	196	Firmicutes
JSCeC5.Bin83	39	35	34	Firmicutes
JSCeC5.Bin97	128	93	107	Firmicutes
JSCeC6.Bin11	94	66	84	Firmicutes
JSCeC6.Bin16	60	53	57	Firmicutes
JSCeC6.Bin30	135	85	116	Actinobacteriota
JSCeC6.Bin32	192	104	142	Firmicutes
JSCeC6.Bin4	95	67	82	Firmicutes
JSCeC6.Bin40	160	105	130	Proteobacteria
JSCeC6.Bin41	166	97	133	Firmicutes
JSCeC6.Bin45	192	127	158	Firmicutes
JSCeC6.Bin47	158	102	134	Firmicutes
JSCeC6.Bin49	96	77	85	Spirochaetota
JSCeC6.Bin52	168	103	139	Firmicutes
JSCeC6.Bin53	88	66	73	Cyanobacteria
JSCeC6.Bin54	172	98	145	Synergistota
JSCeC6.Bin56	65	55	60	Firmicutes
JSCeC6.Bin6	130	81	103	Proteobacteria
JSCeC6.Bin60	123	82	110	Firmicutes
JSCeC6.Bin61	187	105	149	Firmicutes
JSCeC6.Bin62	167	126	142	Bacteroidota
JSCeC6.Bin76	219	119	176	Firmicutes
JSCeC6.Bin78	214	136	190	Bacteroidota
JSCeC6.Bin8	120	79	102	Firmicutes
JSCeC6.Bin80	100	70	75	Cyanobacteria
JSCeC6.Bin81	157	88	132	Fusobacteriota
JSCeC6.Bin83	194	117	168	Bacteroidota
JSCeC6.Bin9	94	67	83	Firmicutes
MD14d_CeC_3.Bin19	469	163	386	Firmicutes
MD14d_CeC_3.Bin2	335	148	273	Firmicutes
MD14d_CeC_3.Bin21	278	129	202	Firmicutes
MD14d_CeC_3.Bin22	363	142	278	Firmicutes
MD14d_CeC_3.Bin27	295	144	309	Bacteroidota
MD14d_CeC_3.Bin29	171	84	159	Firmicutes
MD14d_CeC_3.Bin6	148	91	125	Firmicutes
MD14d_CeC_4.Bin10	216	119	173	Firmicutes
MD14d_CeC_4.Bin11	120	87	105	Firmicutes
MD14d_CeC_4.Bin12	174	111	162	Firmicutes
MD14d_CeC_4.Bin20	177	95	135	Firmicutes
MD14d_CeC_4.Bin31	209	111	163	Firmicutes
MD14d_CeC_4.Bin39	282	131	230	Firmicutes
MD14d_CeC_4.Bin4	194	109	154	Firmicutes
MD14d_CeC_4.Bin44	118	83	100	Firmicutes
MD14d_CeC_4.Bin49	236	123	192	Firmicutes
MD14d_CeC_4.Bin54	411	170	315	Firmicutes
MD14d_CeC_4.Bin56	99	73	82	Firmicutes
MD14d_CeC_4.Bin6	356	149	291	Firmicutes
MD14d_CeC_4.Bin63	243	125	191	Firmicutes
MD14d_CeC_7.Bin11	262	125	225	Firmicutes
MD14d_CeC_7.Bin13	304	136	250	Firmicutes
MD14d_CeC_7.Bin14	177	108	143	Firmicutes
MD14d_CeC_7.Bin16	245	116	215	Firmicutes
MD14d_CeC_7.Bin18	225	128	186	Firmicutes
MD14d_CeC_7.Bin2	203	119	173	Firmicutes
MD14d_CeC_7.Bin20	254	133	221	Firmicutes
MD14d_CeC_7.Bin24	170	94	150	Firmicutes
MD14d_CeC_7.Bin28	252	130	191	Firmicutes
MD14d_CeC_7.Bin29	229	120	178	Firmicutes
MD14d_CeC_7.Bin31	218	120	205	Firmicutes
MD14d_CeC_7.Bin32	207	106	176	Firmicutes
MD14d_CeC_7.Bin34	378	148	317	Firmicutes
MD14d_CeC_7.Bin39	255	117	209	Firmicutes
MD14d_CeC_7.Bin43	315	159	310	Bacteroidota
MD14d_CeC_7.Bin45	177	102	161	Firmicutes
MD14d_CeC_7.Bin53	255	133	213	Firmicutes
MD14d_CeC_7.Bin56	184	94	150	Firmicutes
MD14d_CeC_7.Bin68	187	105	148	Firmicutes
MD14d_CeC_7.Bin69	355	164	280	Firmicutes
MD14d_CeC_7.Bin7	195	103	142	Actinobacteriota
MD14d_CeC_7.Bin73	271	126	209	Firmicutes
MD14d_CeC_7.Bin74	142	88	116	Firmicutes
MD14d_CeC_7.Bin76	163	103	137	Firmicutes
MD14d_CeC_7.Bin78	165	98	136	Firmicutes
MD14d_CeC_7.Bin9	222	112	173	Firmicutes
MD14d_CeC_8.Bin1	134	88	110	Firmicutes
MD14d_CeC_8.Bin13	611	177	505	Firmicutes
MD14d_CeC_8.Bin14	192	109	160	Firmicutes
MD14d_CeC_8.Bin16	254	123	202	Firmicutes
MD14d_CeC_8.Bin25	389	151	310	Firmicutes
MD14d_CeC_8.Bin26	195	110	158	Firmicutes
MD14d_CeC_8.Bin28	339	151	264	Firmicutes
MD14d_CeC_8.Bin3	375	148	304	Firmicutes
MD14d_CeC_8.Bin31	139	82	123	Firmicutes
MD14d_CeC_8.Bin35	282	129	214	Firmicutes
MD14d_CeC_8.Bin4	320	142	252	Firmicutes
MD14d_CeC_8.Bin8	228	123	171	Firmicutes
MD3d_CeC_3.Bin1	290	163	274	Proteobacteria
MD3d_CeC_3.Bin2	395	213	328	Proteobacteria
MD3d_CeC_4.Bin6	473	221	384	Proteobacteria
MD3d_CeC_4.Bin7	311	179	265	Proteobacteria
MD3d_CeC_5.Bin1	438	211	382	Proteobacteria
MD3d_CeC_5.Bin2	409	209	338	Proteobacteria
MD3d_CeC_5.Bin4	318	175	273	Proteobacteria
MD3d_CeC_6.Bin2	296	176	250	Proteobacteria
MD42d_CeC1.Bin14	186	104	149	Firmicutes
MD42d_CeC1.Bin2	100	72	82	Firmicutes
MD42d_CeC1.Bin21	231	126	178	Firmicutes
MD42d_CeC1.Bin23	146	91	104	Proteobacteria
